시도,구시,동,단지,거래수,제곱미터당,금액중간,면적중간,건축년도,최근연
경기,평택시,용이동,평택비전레이크푸르지오,66,6082317,502500000,84.2,2019,2026
경기,평택시,용이동,평택비전센트럴푸르지오,47,5323176,441000000,84.7,2018,2026
경기,평택시,용이동,평택비전에듀포레푸르지오,112,5767759,485000000,84.9,2018,2026
경기,평택시,용이동,평택비전푸르지오,64,5046128,417500000,85.0,2016,2026
경기,평택시,용이동,평택용이2차푸르지오,59,3593632,373000000,100.1,2010,2026
경기,평택시,용이동,평택용이금호어울림1단지,165,3764910,307000000,85.0,2015,2026
경기,평택시,용이동,평택용이금호어울림2단지,44,3882417,330000000,85.0,2015,2026
경기,평택시,용이동,푸르지오1차,32,3377015,354000000,108.8,2009,2026
경기,평택시,이충동,LIG아파트,34,2719603,262500000,92.4,1997,2026
경기,평택시,이충동,고덕시티,25,3665414,78000000,21.3,2020,2026
경기,평택시,이충동,고덕코아루더블루시티,212,3053191,63610000,21.0,2021,2026
경기,평택시,이충동,대진,8,2208589,132500000,60.0,1997,2026
경기,평택시,이충동,더퍼스트서정,4,3345173,166500000,49.9,2016,2026
경기,평택시,이충동,미주3(이충),55,2471461,189000000,71.5,1996,2026
경기,평택시,이충동,서정라페온빌3차,27,3410265,67000000,20.6,2018,2026
경기,평택시,이충동,서정스마트빌듀오1차,22,2603399,65000000,24.3,2016,2026
경기,평택시,이충동,서정스마트빌듀오2차,31,3012941,66500000,20.2,2016,2026
경기,평택시,이충동,서정아트타워2차트인,7,3620073,80000000,22.1,2018,2026
경기,평택시,이충동,스카이빌,3,3452381,85000000,24.4,2013,2025
경기,평택시,이충동,우미이노스빌5차,21,2845511,373000000,136.4,2006,2026
경기,평택시,이충동,이충동부영1단지,44,2360944,120000000,50.0,1996,2026
경기,평택시,이충동,이충동부영2단지,49,2340936,135000000,59.9,1996,2026
경기,평택시,이충동,이충동부영3단지,48,2380952,140000000,59.9,1996,2026
경기,평택시,이충동,이충이-편한세상,8,3680223,375000000,101.9,2007,2026
경기,평택시,이충동,정암마을뜨란채,68,3144980,259000000,84.9,2006,2026
경기,평택시,이충동,주공4,29,3682418,160000000,39.7,1990,2026
경기,평택시,이충동,현대(이충),61,3133128,260000000,84.6,1992,2026
경기,평택시,이충동,휴먼시아추담마을,39,3120952,256500000,84.9,2007,2026
경기,평택시,장당동,우미이노스빌1차,40,3008623,250000000,84.9,2005,2026
경기,평택시,장당동,우미이노스빌2차,31,3061954,260000000,84.9,2005,2026
경기,평택시,장당동,우미이노스빌3차,20,3264016,266000000,81.5,2006,2026
경기,평택시,장당동,제일풍경채장당센트럴,39,4339369,299000000,66.9,2018,2026
경기,평택시,장당동,제일하이빌1차,70,3838217,230000000,59.9,2005,2026
경기,평택시,장당동,제일하이빌2차,35,3874752,232000000,59.9,2005,2026
경기,평택시,장당동,평택석정공원화성파크드림,11,5294442,440000000,85.0,2025,2026
경기,평택시,장당동,한국아델리움,34,3149304,267500000,84.9,2005,2026
경기,평택시,장당동,한양,9,2212806,179000000,85.0,1994,2026
경기,평택시,장당동,효명,14,1851195,156500000,84.5,1991,2026
경기,평택시,장안동,평택장안마을코오롱하늘채,151,3546095,295000000,84.9,2013,2026
경기,평택시,죽백동,소사벌더샵마스터뷰,58,5120630,472000000,89.8,2018,2026
경기,평택시,죽백동,우미린레이크파크,56,4118296,350000000,85.0,2017,2026
경기,평택시,죽백동,평택소사벌반도유보라아이비파크,64,3969488,330500000,84.9,2016,2026
경기,평택시,죽백동,평택소사벌반도유보라아이비파크1단지,36,4222734,349000000,84.9,2016,2026
경기,평택시,죽백동,평택소사벌중흥에스-클래스에코시티,114,4473272,375000000,85.0,2017,2026
경기,평택시,죽백동,평택소사벌호반베르디움,75,4988047,420000000,84.2,2018,2026
경기,평택시,지산동,THECLASS1,1,2621483,123000000,46.9,2016,2026
경기,평택시,지산동,THECLASS2,1,3382706,169000000,50.0,2016,2025
경기,평택시,지산동,THEH,1,3212206,160000000,49.8,2017,2024
경기,평택시,지산동,건영(지산),32,2332960,132000000,53.6,1993,2026
경기,평택시,지산동,대준블루온,1,3210917,160000000,49.8,2016,2025
경기,평택시,지산동,대준블루인102동,17,2909766,188000000,66.1,2019,2026
경기,평택시,지산동,미주(지산1091),7,2589759,220000000,85.0,1992,2026
경기,평택시,지산동,미주2(지산1134),43,2410979,140000000,59.8,1994,2026
경기,평택시,지산동,미켈란빌,1,3639304,180000000,49.5,2016,2025
경기,평택시,지산동,삼익,18,2418507,152500000,66.6,1992,2026
경기,평택시,지산동,아이웰,16,4475986,380000000,84.9,2019,2026
경기,평택시,지산동,아주,52,2552127,153000000,60.0,1994,2026
경기,평택시,지산동,어반스페이스,1,4940711,100000000,20.2,2017,2025
경기,평택시,지산동,에코빌,1,2630907,206000000,78.3,2014,2025
경기,평택시,지산동,엘리시아,3,4799122,340000000,72.9,2021,2025
경기,평택시,지산동,우성,11,3007519,250000000,84.8,1992,2026
경기,평택시,지산동,이안힐시티타워2차아파트,3,3364023,190000000,56.5,2017,2025
경기,평택시,지산동,이한렉스빌플러스,19,2936803,79000000,27.0,2017,2026
경기,평택시,지산동,장미,20,2377377,115000000,50.0,1994,2026
경기,평택시,지산동,제일,15,2603124,151000000,59.4,1991,2026
경기,평택시,지산동,지산코아루,18,2843250,420000000,160.9,2011,2026
경기,평택시,지산동,진성포레스트힐,2,2269718,166500000,73.5,2015,2026
경기,평택시,지산동,케이씨씨스위첸,38,3319124,302500000,84.4,2006,2026
경기,평택시,지산동,한양청솔,23,2380553,142000000,59.6,1996,2026
경기,평택시,지산동,현대(지산),17,2259215,120000000,50.5,1992,2026
경기,평택시,지제동,지제역더샵센트럴시티,303,9437189,765000000,84.9,2022,2026
경기,평택시,진위면 가곡리,서원양지마을,12,1446413,70000000,49.7,1993,2026
경기,평택시,진위면 가곡리,화영그린,9,1486306,85000000,54.3,1995,2026
경기,평택시,진위면 갈곶리,한일,36,2335669,141500000,59.9,1996,2026
경기,평택시,진위면 견산리,경원,10,1546265,72750000,44.1,1987,2026
경기,평택시,진위면 견산리,서원,6,1275489,58000000,51.6,1991,2026
경기,평택시,진위면 견산리,청도,13,1347897,70000000,56.0,1992,2026
경기,평택시,진위면 견산리,한승아파트,75,2392975,89000000,34.4,2000,2026
경기,평택시,진위면 봉남리,성우,2,1845145,127000000,69.0,2000,2026
경기,평택시,진위면 봉남리,유명,1,1225190,100000000,81.6,2002,2025
경기,평택시,청북읍 옥길리,부영사랑으로(3차),11,2379073,185000000,74.0,2012,2026
경기,평택시,청북읍 옥길리,부영사랑으로1단지,141,2284838,137000000,60.0,2011,2026
경기,평택시,청북읍 옥길리,부영사랑으로2단지,152,2326532,139500000,60.0,2011,2026
경기,평택시,청북읍 옥길리,브라운스톤청북,61,3020973,240000000,77.8,2017,2026
경기,평택시,청북읍 옥길리,사랑으로부영5차,10,2441869,206000000,84.4,2012,2026
경기,평택시,청북읍 옥길리,유승한내들,47,2464876,286000000,116.2,2010,2026
경기,평택시,청북읍 옥길리,유승한내들퍼스트뷰,39,2888528,245000000,84.8,2015,2026
경기,평택시,청북읍 옥길리,청북풍림아이원,25,2593859,220000000,84.8,2013,2026
경기,평택시,청북읍 옥길리,평택청북세종헤르메스,2,4378838,369760000,84.4,2025,2025
경기,평택시,청북읍 옥길리,평택청북이안,62,2412497,205000000,85.0,2011,2026
경기,평택시,청북읍 옥길리,평택청북이지더원,57,3345196,256000000,76.8,2016,2026
경기,평택시,청북읍 옥길리,평택청북한양수자인,66,3018442,256500000,85.0,2016,2026
경기,평택시,칠괴동,우림필유,15,2941869,250000000,85.0,2006,2026
경기,평택시,칠원동,동광,50,2756708,169000000,59.9,2003,2026
경기,평택시,칠원동,평택지제역동문굿모닝힐맘시티1단지,102,4170093,295000000,74.8,2019,2026
경기,평택시,칠원동,평택지제역동문굿모닝힐맘시티2단지,157,4153346,286000000,73.4,2019,2026
경기,평택시,칠원동,평택지제역동문굿모닝힐맘시티3단지,178,4595473,285000000,60.0,2021,2026
경기,평택시,칠원동,평택지제역동문굿모닝힐맘시티4단지,141,4186840,290000000,73.4,2019,2026
경기,평택시,칠원동,평택지제역동문디이스트5단지,15,4709395,400000000,85.0,2024,2026
경기,평택시,통복동,기흥,2,1701183,103500000,60.8,1990,2026
경기,평택시,통복동,꿈의도시두드림,14,3219704,61000000,19.0,2017,2026
경기,평택시,통복동,동아,1,2185241,130000000,59.5,1985,2024
경기,평택시,통복동,동아2,13,2414378,190000000,84.9,1994,2026
경기,평택시,통복동,부원편한세상,1,2511721,150000000,59.7,2013,2026
경기,평택시,통복동,삼성,37,2592200,220000000,84.9,1993,2026
경기,평택시,통복동,신명보람,4,2709688,162500000,60.0,1995,2026
경기,평택시,통복동,평택역경남아너스빌디아트,8,5541845,470305000,84.9,2025,2026
경기,평택시,팽성읍 객사리,수청,1,907087,53500000,59.0,1993,2026
경기,평택시,팽성읍 객사리,향교,8,1365015,81000000,59.3,1986,2026
경기,평택시,팽성읍 송화리,늘푸른오스카빌,19,2499397,470000000,188.6,2010,2026
경기,평택시,팽성읍 송화리,대원,44,2759713,165500000,60.0,2002,2026
경기,평택시,팽성읍 송화리,서경,8,1129518,68500000,59.8,1988,2026
경기,평택시,팽성읍 송화리,송화지구우미이노스빌,85,2592980,215000000,84.5,2005,2026
